,count,mean,std,min,25%,50%,75%,max,median,variance,skewness,kurtosis
GHI,264465.0,406.23977652997564,305.0639265767636,0.0,132.8,359.5,654.4,1499.0,359.5,93063.999298433,0.43157709398189514,-0.8895109967718433
DNI,259248.0,236.24048362957478,261.8710596559941,0.0,1.2,115.3,461.5,946.0,115.3,68576.4518853532,0.7206166988571677,-0.8796580458934651
DHI,262472.0,232.8379587155963,149.10442477926983,0.0,113.6,225.0,337.4,892.0,225.0,22232.129488756935,0.35796705215728136,-0.48142390123392653
ModA,525600.0,206.6430951293759,300.8968926212413,0.0,0.0,3.6,359.5,1507.0,3.6,90538.93998911881,1.3193511681316668,0.47014755572593625
ModB,525600.0,198.11469121004558,288.8890726857755,0.0,0.0,3.4,345.4,1473.0,3.4,83456.89631724729,1.3302661031803877,0.5282347809868773
Tamb,525600.0,26.319394216133944,4.398605011595131,12.3,23.1,25.3,29.4,39.9,25.3,19.3477260480298,0.4429604637545683,-0.31692465745558307
RH,525600.0,79.44885730593609,20.520774562690175,9.9,68.7,85.4,96.7,100.0,85.4,421.1021886527521,-1.1155444846873628,0.5483574187325635
WS,525600.0,1.1461130136986302,1.2392483687506368,0.0,0.0,0.8,2.0,19.2,0.8,1.5357365194511146,1.1877624000457159,2.4648005604801684
WSgust,525600.0,1.6916059741248095,1.617053354438623,0.0,0.0,1.6,2.6,23.9,1.6,2.6148615511012028,1.079324295898672,2.8628007113228824
WSstdev,525600.0,0.36382286910197875,0.29500006363719533,0.0,0.0,0.4,0.6,4.1,0.4,0.08702503754594929,0.38798827774581757,1.0071279725482976
WD,525600.0,133.0446683789954,114.28479181237655,0.0,0.0,161.5,234.1,360.0,161.5,13061.01363959825,0.052798576804989235,-1.5356151801791005
WDstdev,525600.0,7.1722197488584465,7.5350931592808434,0.0,0.0,6.2,12.0,98.4,6.2,56.777628919040964,1.2541936008881145,3.3414369558449923
BP,525600.0,999.8764687975647,2.104419226069219,993.0,999.0,1000.0,1001.0,1006.0,1000.0,4.428580279049771,-0.3354776283227372,-0.04556849936973828
Cleaning,525600.0,0.0009665144596651446,0.031073817701868293,0.0,0.0,0.0,0.0,1.0,0.0,0.0009655821465689433,32.11934814352205,1029.6564431877541
Precipitation,525600.0,0.00480593607305936,0.047555992534041275,0.0,0.0,0.0,0.0,2.4,0.0,0.002261572425897789,18.429123269954484,459.3092818551704
TModA,525600.0,32.504263127853875,12.434898577542754,10.7,23.5,26.6,40.9,72.8,26.6,154.62670263377478,0.9698452218909054,-0.2536834706890523
TModB,525600.0,32.5930905631659,12.009161313594923,11.1,23.8,26.9,41.3,70.4,26.9,144.21995545594496,0.8991613649542608,-0.47311523062323424
Comments,0.0,,,,,,,,,,,
